Cl,Cd
-1.1009,0.07843
-1.1335,0.06886
-1.1541,0.06173
-1.1706,0.05568
-1.183,0.05062
-1.1903,0.04659
-1.1957,0.04312
-1.1988,0.04019
-1.199,0.03778
-1.1998,0.0355
-1.1985,0.03358
-1.1953,0.03195
-1.1928,0.03039
-1.1883,0.02908
-1.1836,0.02789
-1.1768,0.02693
-1.17,0.02605
-1.1624,0.02532
-1.1538,0.02464
-1.1506,0.02312
-1.1421,0.02194
-1.1276,0.02117
-1.1108,0.02054
-1.0927,0.01999
-1.0741,0.01945
-1.0549,0.01894
-1.0349,0.01848
-1.0148,0.01803
-0.9945,0.01759
-0.9815,0.01651
-0.9631,0.01598
-0.9441,0.01557
-0.9267,0.01522
-0.8975,0.01479
-0.8641,0.01438
-0.8322,0.01382
-0.8084,0.01319
-0.7761,0.01279
-0.7413,0.0124
-0.7037,0.01205
-0.6665,0.01143
-0.6242,0.01107
-0.5786,0.01066
-0.5362,0.01026
-0.4656,0.00972
-0.4391,0.00947
-0.4133,0.00926
-0.3878,0.00908
-0.3626,0.00893
-0.3379,0.00877
-0.3133,0.00865
-0.2885,0.00859
-0.2645,0.00848
-0.2404,0.00842
-0.2163,0.00835
-0.1923,0.00828
-0.1688,0.00815
-0.1479,0.00782
-0.1319,0.00716
-0.1102,0.00692
-0.0878,0.00673
-0.065,0.00657
-0.0418,0.00644
-0.0189,0.00631
0.0043,0.00622
0.0277,0.00616
0.0516,0.00612
0.0764,0.0061
0.1013,0.0061
0.1266,0.00612
0.1522,0.00615
0.1781,0.00617
0.2041,0.0062
0.2305,0.00625
0.2577,0.00631
0.2854,0.00636
0.3167,0.00643
0.3488,0.00652
0.3816,0.00662
0.4232,0.00674
0.4642,0.00686
0.5061,0.00701
0.5487,0.00718
0.5893,0.00736
0.6263,0.00753
0.6632,0.00773
0.7307,0.00813
0.7637,0.00833
0.7947,0.00857
0.8269,0.00877
0.8604,0.00902
0.8958,0.00924
0.9303,0.0095
0.964,0.00978
0.9851,0.01001
1.005,0.0102
1.0255,0.01043
1.0684,0.01094
1.0899,0.01124
1.112,0.01151
